     T(MeV)         phi_e         thetah           tnuh           nbh              N              P             H2            He4
 .9808061D+01  0.6556998D-09  0.2516551D-18  0.1000000D+01  0.2906456D-05  0.4677120D+00  0.5322880D+00  0.4661837D-11  0.1001571D-29
 .9773947D+01  0.6601226D-09  0.2499078D-18  0.1000000D+01  0.2876234D-05  0.4641056D+00  0.5358934D+00  0.4562412D-11  0.1000000D-29
 .9701840D+01  0.6603545D-09  0.2462346D-18  0.1000000D+01  0.2813010D-05  0.4638804D+00  0.5361195D+00  0.4520758D-11  0.1000000D-29
 .9637763D+01  0.6605698D-09  0.2429933D-18  0.1000000D+01  0.2757610D-05  0.4636719D+00  0.5363280D+00  0.4482289D-11  0.1000000D-29
 .9574428D+01  0.6608128D-09  0.2398107D-18  0.1000000D+01  0.2703573D-05  0.4634372D+00  0.5365579D+00  0.4440404D-11  0.1000000D-29
 .9502972D+01  0.6610587D-09  0.2362451D-18  0.1000000D+01  0.2643459D-05  0.4632025D+00  0.5367944D+00  0.4397279D-11  0.1000000D-29
 .9440424D+01  0.6612893D-09  0.2331460D-18  0.1000000D+01  0.2591576D-05  0.4629845D+00  0.5370138D+00  0.4357856D-11  0.1000000D-29
 .9363637D+01  0.6615463D-09  0.2293694D-18  0.1000000D+01  0.2528817D-05  0.4627334D+00  0.5372615D+00  0.4313463D-11  0.1000000D-29
 .9297588D+01  0.6617587D-09  0.2261455D-18  0.1000000D+01  0.2475651D-05  0.4625276D+00  0.5374674D+00  0.4276996D-11  0.1000000D-29
 .9233511D+01  0.6619635D-09  0.2230397D-18  0.1000000D+01  0.2424789D-05  0.4623313D+00  0.5376660D+00  0.4242321D-11  0.1000000D-29
 .9171781D+01  0.6621793D-09  0.2200680D-18  0.1000000D+01  0.2376455D-05  0.4621252D+00  0.5378720D+00  0.4206300D-11  0.1000000D-29
 .9095197D+01  0.6624981D-09  0.2164088D-18  0.1000000D+01  0.2317388D-05  0.4618246D+00  0.5381689D+00  0.4155943D-11  0.1000000D-29
 .9035056D+01  0.6626913D-09  0.2135568D-18  0.1000000D+01  0.2271695D-05  0.4616401D+00  0.5383554D+00  0.4124782D-11  0.1000000D-29
 .8972005D+01  0.6629258D-09  0.2105871D-18  0.1000000D+01  0.2224441D-05  0.4614193D+00  0.5385767D+00  0.4088054D-11  0.1000000D-29
 .8908426D+01  0.6631781D-09  0.2076137D-18  0.1000000D+01  0.2177460D-05  0.4611888D+00  0.5388124D+00  0.4050179D-11  0.1000000D-29
 .8839638D+01  0.6634189D-09  0.2044203D-18  0.1000000D+01  0.2127379D-05  0.4609608D+00  0.5390411D+00  0.4013088D-11  0.1000000D-29
 .8781612D+01  0.6636627D-09  0.2017459D-18  0.1000000D+01  0.2085736D-05  0.4607298D+00  0.5392669D+00  0.3977312D-11  0.1000000D-29
 .8714241D+01  0.6639201D-09  0.1986628D-18  0.1000000D+01  0.2038072D-05  0.4604869D+00  0.5395080D+00  0.3939546D-11  0.1000000D-29
